Tanggal;Tn;Tx;Tavg;RH_avg;ss;ff_x;ff_avg
06/10/2021;24.1;35.4;28.6;70;2;7;2
07/10/2021;24.3;34;27;77;9.5;7;2
08/10/2021;22.4;35.7;28;75;6.6;5;1
09/10/2021;23.6;33;27.4;78;8.9;7;2
10/10/2021;23.3;31;25.7;88;7.8;4;2
11/10/2021;23.5;33.4;27.8;71;1.5;6;1
12/10/2021;23.4;35;28.4;74;5.4;5;2
13/10/2021;24.2;34;28.5;74;6.8;5;2
14/10/2021;25;35.5;29.3;70;6.7;5;2
15/10/2021;25;35.6;29;65;8;4;1
16/10/2021;25.6;34;28;77;8.1;6;1
17/10/2021;22.6;30.5;25.3;85;4.5;6;1
18/10/2021;23.2;32.5;25.9;87;2.9;4;1
19/10/2021;23.6;34.5;28.4;78;4.8;4;1
20/10/2021;23.2;25;23.4;96;8.2;4;0
21/10/2021;22.6;33;26.5;81;0;4;2
22/10/2021;23.2;31;25.9;92;0;4;0
23/10/2021;23;33.4;27.6;80;2;8;2
24/10/2021;23;34;26.8;81;7.8;6;1
25/10/2021;23.6;32.2;27;82;6;3;0
26/10/2021;23.8;33.5;27.4;79;7;3;1
27/10/2021;24;34.2;27.7;80;7.4;6;2
28/10/2021;23.9;30.8;26.5;86;6.5;6;2
29/10/2021;22.4;32.8;27.1;78;1.5;5;2
30/10/2021;23.6;32.4;26.8;85;7.3;6;1
31/10/2021;23.6;33.4;27.8;81;5.3;6;2
01/11/2021;23;32.5;26.2;84;5.7;5;1
02/11/2021;23.2;32;25.7;91;4.3;5;2
03/11/2021;23;31;26.5;84;6;5;2
04/11/2021;23.1;32.6;27.4;79;4.4;6;2
05/11/2021;23.6;30.6;25.3;92;6.6;4;2
06/11/2021;23.8;33.4;27.3;82;2.8;4;1
07/11/2021;24;31.7;26.3;84;5.7;6;1
08/11/2021;24.2;34;27.4;78;3;5;1
09/11/2021;24;34.6;29;74;3.8;9;3
10/11/2021;23.4;31.5;25.9;87;9.4;5;1
11/11/2021;23;32.5;26.8;82;0.2;9;2
12/11/2021;22.6;32.4;27.3;80;3.4;4;1
13/11/2021;23.8;32.8;26.5;87;3.8;4;0
14/11/2021;24.6;34.4;28;79;0.4;5;1
15/11/2021;24.4;32.5;27.7;84;5;5;1
16/11/2021;25;34.4;28.5;77;2.8;4;1
17/11/2021;23.8;33.5;27.3;76;5.3;6;1
18/11/2021;23;31.6;26.1;85;3.8;4;1
19/11/2021;23.3;32.6;27.1;80;3.8;5;1
20/11/2021;23.2;31.6;26.6;83;5.6;5;1
21/11/2021;24;34.2;26.1;89;4.2;12;2
22/11/2021;23;34;27.6;79;6.5;4;1
23/11/2021;23.8;31.4;27.5;85;9.2;6;2
24/11/2021;22.9;29.5;25.2;92;4.9;3;0
25/11/2021;23.2;32.6;27.7;81;0;7;2
26/11/2021;22.7;31;26.2;88;5.4;7;2
27/11/2021;23.2;34.2;28.2;76;4.3;5;1
28/11/2021;24;33.4;27.6;80;8.2;5;2
29/11/2021;23.8;34.8;28;72;5.4;4;2
30/11/2021;23;33.8;28.1;73;9.1;4;1
